m_value,M_value,L_value,g_value,d_value,b_value,theta_cmd,theta_0,thetadot_cmd,theta_dot_0,F_value,t0
0,0,0,0,0,0,0,0.7,0,0,-5.004597,0
0,0,0,0,0,0,0,0.699846,0,-0.030562,-4.917002,0.01001
0,0,0,0,0,0,0,0.699394,0,-0.059397,-4.832115,0.02002
0,0,0,0,0,0,0,0.698662,0,-0.086589,-4.749828,0.03003
0,0,0,0,0,0,0,0.697666,0,-0.112218,-4.670034,0.04004
0,0,0,0,0,0,0,0.69642,0,-0.136359,-4.592635,0.05005
0,0,0,0,0,0,0,0.69494,0,-0.159083,-4.517534,0.06006
0,0,0,0,0,0,0,0.69324,0,-0.180461,-4.44464,0.07007
0,0,0,0,0,0,0,0.691332,0,-0.200557,-4.373865,0.08008
0,0,0,0,0,0,0,0.689229,0,-0.219435,-4.305124,0.09009
0,0,0,0,0,0,0,0.686943,0,-0.237153,-4.238338,0.1001
0,0,0,0,0,0,0,0.684485,0,-0.253768,-4.173429,0.11011
0,0,0,0,0,0,0,0.681866,0,-0.269336,-4.110323,0.12012
0,0,0,0,0,0,0,0.679096,0,-0.283908,-4.048949,0.13013
0,0,0,0,0,0,0,0.676185,0,-0.297532,-3.98924,0.14014
0,0,0,0,0,0,0,0.673142,0,-0.310256,-3.931131,0.15015
0,0,0,0,0,0,0,0.669977,0,-0.322125,-3.874561,0.16016
0,0,0,0,0,0,0,0.666696,0,-0.333182,-3.819468,0.17017
0,0,0,0,0,0,0,0.663309,0,-0.343466,-3.765798,0.18018
0,0,0,0,0,0,0,0.659822,0,-0.353018,-3.713494,0.19019
0,0,0,0,0,0,0,0.656244,0,-0.361874,-3.662506,0.2002
0,0,0,0,0,0,0,0.65258,0,-0.370068,-3.612783,0.21021
0,0,0,0,0,0,0,0.648837,0,-0.377635,-3.564277,0.22022
0,0,0,0,0,0,0,0.645022,0,-0.384607,-3.516943,0.23023
0,0,0,0,0,0,0,0.641139,0,-0.391014,-3.470736,0.24024
