m_value,M_value,L_value,g_value,d_value,b_value,theta_cmd,theta_0,thetadot_cmd,theta_dot_0,F_value,t0
0,0,0,0,0,0,0,0.898279,0,-0.111358,-6.107222,0.03003
0,0,0,0,0,0,0,0.896998,0,-0.144314,-6.004531,0.04004
0,0,0,0,0,0,0,0.895396,0,-0.175355,-5.904932,0.05005
0,0,0,0,0,0,0,0.893493,0,-0.204575,-5.808299,0.06006
0,0,0,0,0,0,0,0.891307,0,-0.23206,-5.714513,0.07007
0,0,0,0,0,0,0,0.888853,0,-0.257898,-5.623462,0.08008
0,0,0,0,0,0,0,0.886149,0,-0.282166,-5.535036,0.09009
0,0,0,0,0,0,0,0.883209,0,-0.304944,-5.44913,0.1001
0,0,0,0,0,0,0,0.880048,0,-0.326304,-5.365644,0.11011
0,0,0,0,0,0,0,0.876681,0,-0.346316,-5.284484,0.12012
0,0,0,0,0,0,0,0.873119,0,-0.365046,-5.205556,0.13013
0,0,0,0,0,0,0,0.869377,0,-0.382559,-5.128775,0.14014
0,0,0,0,0,0,0,0.865464,0,-0.398914,-5.054055,0.15015
0,0,0,0,0,0,0,0.861394,0,-0.41417,-4.981317,0.16016
0,0,0,0,0,0,0,0.857176,0,-0.42838,-4.910484,0.17017
0,0,0,0,0,0,0,0.852821,0,-0.441599,-4.841481,0.18018
0,0,0,0,0,0,0,0.848339,0,-0.453875,-4.774239,0.19019
0,0,0,0,0,0,0,0.843738,0,-0.465256,-4.708691,0.2002
0,0,0,0,0,0,0,0.839027,0,-0.475787,-4.644771,0.21021
0,0,0,0,0,0,0,0.834215,0,-0.485512,-4.582418,0.22022
0,0,0,0,0,0,0,0.82931,0,-0.494472,-4.521572,0.23023
0,0,0,0,0,0,0,0.824318,0,-0.502705,-4.462178,0.24024
0,0,0,0,0,0,0,0.819248,0,-0.51025,-4.404181,0.25025
0,0,0,0,0,0,0,0.814105,0,-0.517142,-4.347528,0.26026
0,0,0,0,0,0,0,0.808897,0,-0.523414,-4.292171,0.27027
